audit_scope,taxon,csv_records,netcdf_records,mismatch_count,max_abs_difference,status,note
grid_dimensions_and_valid_ids,,27984,27984,0,,PASS,"NetCDF dimensions=(312, 280); metadata columns=['ID', 'LATITUDE', 'LONGITUDE', 'ROW', 'COL', 'ELEVATION', 'COUNTRY', 'STATE_PROVINCE_or_TERRITORY', 'COUNTY']"
row_identifier,,27984,27984,0,0.0,PASS,Exact semantic comparison
column_identifier,,27984,27984,0,0.0,PASS,Exact semantic comparison
elevation,,27984,27984,0,0.0,PASS,Exact semantic comparison
latitude_documented_precision_change,,27984,27984,27984,0.0012287045839229904,PASS,Coordinate differences are expected and documented in frozen USGS metadata
longitude_documented_precision_change,,27984,27984,27796,0.002658412515721409,PASS,Coordinate differences are expected and documented in frozen USGS metadata
species_identifier_set,,690,699,0,,PASS,missing=[]; extra=[]
species_presence_absence,Abies amabilis,27984,27984,0,0,PASS,Full-grid binary comparison by official grid ID
species_presence_absence,Abies balsamea,27984,27984,0,0,PASS,Full-grid binary comparison by official grid ID
species_presence_absence,Abies concolor,27984,27984,0,0,PASS,Full-grid binary comparison by official grid ID
species_presence_absence,Abies fraseri,27984,27984,0,0,PASS,Full-grid binary comparison by official grid ID
species_presence_absence,Abies grandis,27984,27984,0,0,PASS,Full-grid binary comparison by official grid ID
species_presence_absence,Abies lasiocarpa,27984,27984,0,0,PASS,Full-grid binary comparison by official grid ID
species_presence_absence,Abies magnifica,27984,27984,0,0,PASS,Full-grid binary comparison by official grid ID
species_presence_absence,Abies procera,27984,27984,0,0,PASS,Full-grid binary comparison by official grid ID
species_presence_absence,Acacia berlandieri,27984,27984,0,0,PASS,Full-grid binary comparison by official grid ID
species_presence_absence,Acacia constricta var. constricta,27984,27984,0,0,PASS,Full-grid binary comparison by official grid ID
species_presence_absence,Acacia farnesiana,27984,27984,0,0,PASS,Full-grid binary comparison by official grid ID
species_presence_absence,Acacia greggii,27984,27984,0,0,PASS,Full-grid binary comparison by official grid ID
species_presence_absence,Acacia rigidula,27984,27984,0,0,PASS,Full-grid binary comparison by official grid ID
species_presence_absence,Acacia roemeriana,27984,27984,0,0,PASS,Full-grid binary comparison by official grid ID
species_presence_absence,Acacia tortuosa,27984,27984,0,0,PASS,Full-grid binary comparison by official grid ID
species_presence_absence,Acacia wrightii,27984,27984,0,0,PASS,Full-grid binary comparison by official grid ID
species_presence_absence,Acer barbatum,27984,27984,0,0,PASS,Full-grid binary comparison by official grid ID
species_presence_absence,Acer circinatum,27984,27984,0,0,PASS,Full-grid binary comparison by official grid ID
species_presence_absence,Acer glabrum,27984,27984,0,0,PASS,Full-grid binary comparison by official grid ID
species_presence_absence,Acer grandidentatum,27984,27984,0,0,PASS,Full-grid binary comparison by official grid ID
species_presence_absence,Acer leucoderme,27984,27984,0,0,PASS,Full-grid binary comparison by official grid ID
species_presence_absence,Acer macrophyllum,27984,27984,0,0,PASS,Full-grid binary comparison by official grid ID
species_presence_absence,Acer negundo,27984,27984,0,0,PASS,Full-grid binary comparison by official grid ID
species_presence_absence,Acer nigrum,27984,27984,0,0,PASS,Full-grid binary comparison by official grid ID
species_presence_absence,Acer pensylvanicum,27984,27984,0,0,PASS,Full-grid binary comparison by official grid ID
species_presence_absence,Acer rubrum,27984,27984,0,0,PASS,Full-grid binary comparison by official grid ID
