input_id,local_path,artifact_role,expected_sha256_or_identity,observed_sha256_or_identity,size_bytes,identity_status,member_or_detail
I01,C:\range_paper\10_archive\d09c_t2_final_correction_v02\Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02.zip,PRIMARY_FROZEN_DESIGN,07cb461121c71ef46990fea3e0cf9d8f139fd873234b9f57910ff10c7c33752f,07cb461121c71ef46990fea3e0cf9d8f139fd873234b9f57910ff10c7c33752f,22496593,PASS,Whole-file SHA-256
I02,C:\range_paper\10_archive\d10ca\D10CA_v01.zip,PRIMARY_PLOT_BLOCK_CROSSWALK,c8f73406f7f192b8f124add3cb0ded7ea65474e8d72d752e37dc557a08588865,c8f73406f7f192b8f124add3cb0ded7ea65474e8d72d752e37dc557a08588865,7092335,PASS,Whole-file SHA-256
I05,C:\Users\bug_g\Downloads\D10FB6_v01.zip,ACCEPTED_AUTHORITY_RESULT,4822b8fa6b02bedf3f2c918883aa810fcd97931344bad000138f2f2cb5255cdb,4822b8fa6b02bedf3f2c918883aa810fcd97931344bad000138f2f2cb5255cdb,40101,PASS,Whole-file SHA-256
I03,C:\range_paper\05_qc\d10fb3_singleton_wv_operator_v01\D10FB3_v01.zip,ACCEPTED_SINGLETON_AND_WV_PROVENANCE,TASK_ACCEPTED_B3,b28f54d20c9c0da0b7cfae781e318f4c4cbc30eb450a902be73c330fe97a1fe1,30444,PASS_LOCAL_FROZEN_COPY,B3 local package; relay identity is recorded separately
I04,C:\range_paper\05_qc\d10fb5_bounded_variance_interface_v01\D10FB5_v01.zip,ACCEPTED_BOUNDED_INTERFACE_RESULT,TASK_ACCEPTED_B5,76745b08f3aca379b22b4a5e1c0134c85c1fa2de87336f7f11b260903026aeef,57720,PASS_LOCAL_FROZEN_COPY,B5 local package; relay identity is recorded separately
I03R,C:\range_paper\05_qc\d10fb3_singleton_wv_operator_v01\TRANSFER_RESULT_Q1-D10FB3-v01-20260907.txt,RELAY_COMMIT_IDENTITY,9cd8974cf32834554d50f48bc33359daabae6cf3,9cd8974cf32834554d50f48bc33359daabae6cf3,457,PASS,Expected accepted relay commit appears in transfer result
I04R,C:\range_paper\05_qc\d10fb5_bounded_variance_interface_v01\TRANSFER_RESULT_Q1-D10FB5-v01-20260907.txt,RELAY_COMMIT_IDENTITY,64b428658b4a4597e30646aa5c1fcbcbc1d3725f,64b428658b4a4597e30646aa5c1fcbcbc1d3725f,845,PASS,Expected accepted relay commit appears in transfer result
I06,C:\range_paper\99_tmp\d08c2_preflight_observational_authority_v01\source_cache\SQLite_FIADB_ENTIRE.db,SUPPLEMENTAL_LOCAL_PLOT_AND_SURVEY_IDENTITY,d2935fa9e2c7dd754fbdd8151ba2f093675e3772fefe260336daa308adcaeb72,INHERITED_AUTHORITY_SHA;CURRENT_SIZE=71565119488,71565119488,PASS_INHERITED_SHA_AND_CURRENT_SIZE,71.6 GB file not rehashed in B7; SHA inherited from D08C2 frozen authority and current byte size rechecked
I02M,C:\range_paper\10_archive\d10ca\pkg\out\plot_block_xwalk_v01.csv.gz,EXTRACTED_CROSSWALK_MEMBER,a2c4bb3f6d45ed7d6497c511648265b7d692bf872aabbba1fdd99cc534be9447,a2c4bb3f6d45ed7d6497c511648265b7d692bf872aabbba1fdd99cc534be9447,7059832,PASS,D10CA_v01/out/plot_block_xwalk_v01.csv.gz
I07,C:\range_paper\03_doc\FIA\wo-v9-4_Aug2025_UG_FIADB_database_description_NFI.pdf,LOCAL_OFFICIAL_FIELD_DEFINITIONS,LOCAL_FROZEN_GUIDE,ec735ead3852ba6dbb65cb7257b4f8e0795d4c641be4d625ed81ce64eeba2833,26525698,PASS,Used only for PLOT field semantics; no external search
I08,C:\Users\bug_g\.codex\attachments\614ffa71-ab5f-40da-8abe-1fe099d2ca9a\pasted-text.txt,TASK_FREEZE,USER_ATTACHMENT,148afb1348a5ca31c17092645ffb2aac1b85b81878fba073648ee5512e8716a0,13974,PASS,Exact B7 request
I09,C:\range_paper\00_control\ResearchArtifactRelay_v0_2_2\ResearchArtifactRelay_GUI.ps1,TRANSFER_SCHEMA_AUTHORITY,ResearchArtifactRelay_v0.2.2,7139e060aa394d9bb23cca6249fd4ed1ea1ead7f224e1d3c605975dd331fc915,43158,PASS,Valid upload_target values and mirror-path resolver checked
