synthetic_species_id,world,cell_50km,true_support,species_total_mass,latent_allocation,latent_cell_mass
SYN001,STRONG,50km_4_37,YES,100000000.0,0.00033166133834653495,33166.1338346535
SYN001,STRONG,50km_4_38,YES,100000000.0,0.00043230356038529967,43230.356038529964
SYN001,STRONG,50km_5_37,YES,100000000.0,0.0006934572619378666,69345.72619378666
SYN001,STRONG,50km_5_38,YES,100000000.0,0.0034711627741720505,347116.27741720504
SYN001,STRONG,50km_5_39,YES,100000000.0,0.0009077034238323625,90770.34238323625
SYN001,STRONG,50km_6_37,YES,100000000.0,0.0008155671389838116,81556.71389838116
SYN001,STRONG,50km_6_38,YES,100000000.0,0.006497558657168446,649755.8657168446
SYN001,STRONG,50km_6_39,YES,100000000.0,0.005942564237326334,594256.4237326334
SYN001,STRONG,50km_6_40,YES,100000000.0,0.001084366608634854,108436.66086348539
SYN001,STRONG,50km_6_41,YES,100000000.0,0.000473925206092852,47392.5206092852
SYN001,STRONG,50km_7_38,YES,100000000.0,0.0018634492764965003,186344.92764965002
SYN001,STRONG,50km_7_39,YES,100000000.0,0.007286562669628966,728656.2669628966
SYN001,STRONG,50km_7_40,YES,100000000.0,0.005672369339932856,567236.9339932856
SYN001,STRONG,50km_7_41,YES,100000000.0,0.0031250254502964065,312502.54502964066
SYN001,STRONG,50km_7_42,YES,100000000.0,0.0006464389664953647,64643.896649536466
SYN001,STRONG,50km_7_43,YES,100000000.0,0.00032315362229054355,32315.362229054354
SYN001,STRONG,50km_7_44,YES,100000000.0,0.00023968926289626917,23968.926289626917
SYN001,STRONG,50km_8_38,YES,100000000.0,0.001138535082531575,113853.5082531575
SYN001,STRONG,50km_8_39,YES,100000000.0,0.00610122107503137,610122.1075031371
SYN001,STRONG,50km_8_40,YES,100000000.0,0.017701858824340718,1770185.8824340717
SYN001,STRONG,50km_8_41,YES,100000000.0,0.014023859874536268,1402385.9874536267
SYN001,STRONG,50km_8_42,YES,100000000.0,0.00313565067119269,313565.06711926905
SYN001,STRONG,50km_8_43,YES,100000000.0,0.002863229420080568,286322.9420080568
SYN001,STRONG,50km_8_44,YES,100000000.0,0.0018457948370217568,184579.48370217567
SYN001,STRONG,50km_8_45,YES,100000000.0,0.00045815434027652186,45815.43402765218
SYN001,STRONG,50km_9_38,YES,100000000.0,0.0007513149411972242,75131.49411972243
SYN001,STRONG,50km_9_39,YES,100000000.0,0.00474224500432055,474224.500432055
SYN001,STRONG,50km_9_40,YES,100000000.0,0.01647303764316563,1647303.764316563
SYN001,STRONG,50km_9_41,YES,100000000.0,0.04066514689847918,4066514.6898479178
SYN001,STRONG,50km_9_42,YES,100000000.0,0.01369094060766286,1369094.060766286
SYN001,STRONG,50km_9_43,YES,100000000.0,0.012947243403959257,1294724.3403959258
SYN001,STRONG,50km_9_44,YES,100000000.0,0.014831602803337346,1483160.2803337346
SYN001,STRONG,50km_9_45,YES,100000000.0,0.0028358300544712996,283583.00544712995
SYN001,STRONG,50km_9_46,YES,100000000.0,0.0005408739849903207,54087.398499032075
SYN001,STRONG,50km_10_38,YES,100000000.0,0.0005121514912262546,51215.149122625466
SYN001,STRONG,50km_10_39,YES,100000000.0,0.0037077952068687303,370779.52068687306
