frame_id,state_fips,state_abbr,state_name,target_reporting_year,target_eval_group,lineage_root,lineage_resolution_status,lineage_exception_flag,p2panel_values,n_plot_visits,plot_visit_cns,measurement_years,candidate_splits_with_crossfold_overlap,treatment
T1,01,AL,Alabama,2022,012022,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T1,04,AZ,Arizona,2022,042022,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T1,05,AR,Arkansas,2022,052022,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T1,06,CA,California,2022,062022,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T1,08,CO,Colorado,2022,082022,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T1,09,CT,Connecticut,2022,092022,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T1,10,DE,Delaware,2022,102022,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T1,12,FL,Florida,2022,122022,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T1,13,GA,Georgia,2022,132022,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T1,16,ID,Idaho,2022,162022,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T1,17,IL,Illinois,2022,172022,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T1,18,IN,Indiana,2022,182022,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T1,19,IA,Iowa,2022,192022,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T1,20,KS,Kansas,2022,202022,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T1,21,KY,Kentucky,2022,212022,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
