relative_path,bytes,sha256
code/build_d08c1_accepted_species_eligibility_v01.py,61631,17a887f5d51a9a1fd163cf0e3ae4e83f4b3685109444d324453075502f21c67c
code/build_d08c1_audit_workbook_v01.mjs,13403,817d9c8e0f78bf4de76f0bc8f5a2ce0f522eb0ca053f7c33cd88f75d0c61d8af
code/finalize_d08c1_delivery_v01.py,20090,e24211d22b916db94d2c11fdb87d35dd10ba7ca6f593c0f8785141130df02c1b
code/inspect_d08c1_inputs_v01.py,3073,7b6921f127ec0f633047ff8b3a0416b40b193c4faaea935c03a5b11504f417af
code/parameters_d08c1_v01.json,2370,22c0c8a5b3cdfa9194d527ed9381fdf6680338652d486ee045e1aa8d2253e608
code/verify_d08c1_outputs_v01.py,9810,95cac0fe916db635b884300a9420f171ddaa2a59c89f407d7c501ac8cdf16cf0
control/D08C1_FIA_ACCEPTED_SPECIES_ELIGIBILITY_CONTRACT_v01.md,6203,46da3382ae7cd650569440e3cdf0b6406af6f82a4b72fb3767ccaf6cc06ec22c
control/D08C1_FREEZE_v01.md,2046,fb4679932762693d690c6d1b5453b847f6c7ebd50fc09902fb7e1d94131be705
control/D08C1_INPUT_FREEZE_v01.md,2675,d3e84a6e53e49611408e3f8d76b058fe9ad37cf5675a5913ad9fbb662be39bf1
control/D08C1_STATE_ALIAS_FREEZE_v01.csv,373,d450e7b9b635c34db7e60ec0964a7f4ca3f24e4e7e58f8f1725691bcff3f7dda
control/RAW_FREEZE_v02.md,2345,878bfeb09d474cd6e69ec787eac8bb69d7c14d802620c3d7b653d27f6b3470ce
control/raw_manifest_v02.csv,1774,ed3dead2cb0e516f95ec51c417ffa221e0f22f8dbfe695fac1d1f533ea0b0dc1
control/sha256_raw_v02.txt,379,fec418fcbd714f7d856e5791001a68a49e72b771900543aac70ef4141e04eb94
D08C1_DELIVERY_INDEX.md,16107,5518306f72dce28bdc029627b9143c82410e9d93b30063e3c900a5f6a1998eff
inputs/d04_eligibility_continuity/AB_SPLIT_AUDIT.csv,26677,236fc9dd03f640f708e4fd9b5e0b8733ef2fa2381048860c405e4da432d85438
inputs/d04_eligibility_continuity/D04_CONTINUITY_AUDIT.csv,603,bed1f4ccb2a384f57e7a1aa145f7327a61470d0f8f2572301623f7ff624fbd6e
inputs/d04_eligibility_continuity/D04_extract_FIA_pilot.py,41057,4604e4e288881a89cc0c98476a40a806c8e14005ec50815c95a79c2becd63683
inputs/d04_eligibility_continuity/DOMAIN_GRID_AUDIT.csv,1504,e2a208663114d6d113502b14595ec14ea801a642ac8e4d472c37b0a690ce50ee
inputs/d04_eligibility_continuity/elig_v02_parameters.json,2231,d3071f6a3fb31b432d7aab0bfaf1365fd4c003876ddbfab743ca04378b72ebfe
inputs/d04_eligibility_continuity/LINEAGE_AUDIT.csv,676,45cdad73f26a0d9b6cc807d94ee60b2e743568ca15eb518a96fc049dc68cd782
inputs/d08b1_v02_authority/Q1_ANALYSIS_SPECIES_MASTER_v02.csv,89217,6f69874ab02723b3489aa4f3cbfb5aba188147400efdf170f27ad699d6368cb0
inputs/d08b1_v02_authority/Q1_DRC_PROTOCOL_v02.csv,68280,d49059c3131258aae09b240387cca6a0f53be3a057470338304c3de3b3b8b952
inputs/d08b1_v02_authority/Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02.csv,165626,d19db4f15c2f5f3f328d39bbc9ad17486a384de509253ff0c237ee25ab481cdd
inputs/d08b1_v02_authority/Q1_GLOBAL_RANGE_FLAGS_v02.csv,191352,dc64778032ed9bd301bfc7c14818fc3ba71a3b2621bb4e8b33ec558ecdf3d16d
inputs/d08b1_v02_authority/Q1_WCVP_NATIVE_DISTRIBUTION_LONG_v02.csv,1631728,559a2d6f7b0d67ad886468a2c0098e117c824f196f0a85d3bb7d99c466649017
inputs/preflight_provenance/D08C1_NO_Q1_OUTCOME_AUDIT_v01.json,424,2363a94e9d40ab75b1c803140a9dd7cb71d792eb89f4894809a4eb283c69afd6
inputs/preflight_provenance/D08C1_PREFLIGHT_STOP_v01.md,2246,9997532e72e9ac59fce06dedfe41f01b08a98d1213127d1be6342125d499dbfd
inputs/preflight_provenance/D08C1_STATE_NAME_CROSSWALK_EXCEPTION_v01.csv,346,002a86a988164b7de5f01eb87d747d426f4cd90b6ac3d96cc83fffd228d809f7
inputs/request_decision/Q1_D08C1_MAINLINE_DECISION_RHODE_ISLAND_ALIAS_v01_20260902.md,2237,72111e6d9a7340256f7a7008a9f275614653f7e1aa25aed0745a1f9dc903e8c8
