input_id,local_path,artifact_role,expected_sha256_or_identity,observed_sha256_or_identity,size_bytes,identity_status,member_or_detail
I01,C:\range_paper\05_qc\d10fb7_local_identity_preflight_v01\D10FB7_v01.zip,ACCEPTED_B7_PACKAGE,b1a15ca65c88b3352c9589c846cb7099be76379249c3c329b78714df190c54f7,b1a15ca65c88b3352c9589c846cb7099be76379249c3c329b78714df190c54f7,41538,PASS,Whole-file SHA-256
I01R,C:\range_paper\05_qc\d10fb7_local_identity_preflight_v01\TRANSFER_RESULT_Q1-D10FB7-v01-20260907.txt,B7_RELAY_COMMIT,5a82b5a0edb6ea4d31d32eb1baf81f057a15821a,5a82b5a0edb6ea4d31d32eb1baf81f057a15821a,648,PASS,Exact relay commit
I02,C:\range_paper\05_qc\d10fb7_local_identity_preflight_v01\D10FB7_SINGLETON_SOURCE_EU_POOLING_PREFLIGHT_v01.csv,PRIMARY_24_CASE_IDENTITY_AND_LEVEL1_STATUS,B7_PACKAGE_MEMBER,5a1c1ffc50a94f984df504827d2fa00a1b18411e36f4820e22662ecee24c8135,23705,PASS,Exact S01-S24 case source
I03,C:\range_paper\05_qc\d10fb8_state_fallback_preflight_v01\D10FB8_v01.zip,ACCEPTED_B8_PACKAGE,009573506cd9c11d8209e0e28b7ae7004aa8a78f41042d0136a4ae7a71e42118,009573506cd9c11d8209e0e28b7ae7004aa8a78f41042d0136a4ae7a71e42118,60591,PASS,Whole-file SHA-256
I03R,C:\range_paper\05_qc\d10fb8_state_fallback_preflight_v01\TRANSFER_RESULT_Q1-D10FB8-v01-20260907.txt,B8_RELAY_COMMIT,e4dcc5294ebf2304179e21207b79006d698bbe7c,e4dcc5294ebf2304179e21207b79006d698bbe7c,552,PASS,Exact relay commit
I04,C:\range_paper\05_qc\d10fb8_state_fallback_preflight_v01\D10FB8_STATE_FALLBACK_PREFLIGHT_v01.csv,B8_LEVEL2_RECONCILIATION_AUTHORITY,B8_PACKAGE_MEMBER,ec51c222d8a9ac313aadeeae8c693178ef5366a8f098cec0224a2091ef6db614,12262,PASS,13-case nested compatible counts
I05,C:\range_paper\05_qc\d10fb8_state_fallback_preflight_v01\D10FB8_STATE_FALLBACK_DESIGN_INVENTORY_v01.csv,B8_DESIGN_INVENTORY_AUTHORITY,B8_PACKAGE_MEMBER,13a30156df7f49b6b7cc3c5eeb36fcc370cef24c1a0b752e553aa68d8a218eb9,846309,PASS,Local design identity buckets
I06,C:\range_paper\10_archive\d10ca\D10CA_v01.zip,PRIMARY_PLOT_BLOCK_CROSSWALK_PACKAGE,c8f73406f7f192b8f124add3cb0ded7ea65474e8d72d752e37dc557a08588865,c8f73406f7f192b8f124add3cb0ded7ea65474e8d72d752e37dc557a08588865,7092335,PASS,Whole-file SHA-256
I06M,C:\range_paper\10_archive\d10ca\pkg\out\plot_block_xwalk_v01.csv.gz,EXTRACTED_PLOT_BLOCK_CROSSWALK,a2c4bb3f6d45ed7d6497c511648265b7d692bf872aabbba1fdd99cc534be9447,a2c4bb3f6d45ed7d6497c511648265b7d692bf872aabbba1fdd99cc534be9447,7059832,PASS,Matches ZIP member D10CA_v01/out/plot_block_xwalk_v01.csv.gz
I07,C:\range_paper\99_tmp\d08c2_preflight_observational_authority_v01\source_cache\SQLite_FIADB_ENTIRE.db,LOCAL_PLOT_SURVEY_IDENTITY,d2935fa9e2c7dd754fbdd8151ba2f093675e3772fefe260336daa308adcaeb72,INHERITED_AUTHORITY_SHA;CURRENT_SIZE=71565119488,71565119488,PASS_INHERITED_SHA_AND_CURRENT_SIZE,71.6 GB file not rehashed; authority SHA inherited and size checked
